Title,Chapter,Finished,Link,Note,Sequential,Status,Tags,Total Videos,Video Duration,my organized
087 - Receiver Operating Characteristic Curves,Probability and Statistics,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/X5CF3/receiver-operating-characteristic-curves?v=introduction-to-medical-software/supplement/X5CF3/receiver-operating-characteristic-curves&list=introduction-to-medical-software&type=snipo,,Signal Detection,To Learn,,1,00:10:00,
071 - Impact and Analysis Emerging Digital Behavioral Health Industry,Software Architecture Design and Usability Engineering,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/pORCz/impact-and-analysis-emerging-digital-behavioral-health-industry?v=introduction-to-medical-software/lecture/pORCz/impact-and-analysis-emerging-digital-behavioral-health-industry&list=introduction-to-medical-software&type=snipo,,Digital Behavioral Health (Dr. Gregory Licholai),To Learn,,1,00:06:03,
065 - The Software Design Document,Software Architecture Design and Usability Engineering,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/Wb6VD/the-software-design-document?v=introduction-to-medical-software/lecture/Wb6VD/the-software-design-document&list=introduction-to-medical-software&type=snipo,,Software Design,To Learn,,1,00:10:18,
033 - DHSS: Office of Civil Rights.  Guidance Regarding Methods for De-identification of Protected health Information,"The Healthcare Environment (EHR, PACS, Data Privacy, and Cybersecurity)",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/YVuA7/dhss-office-of-civil-rights-guidance-regarding-methods-for-de-identification-of?v=introduction-to-medical-software/supplement/YVuA7/dhss-office-of-civil-rights-guidance-regarding-methods-for-de-identification-of&list=introduction-to-medical-software&type=snipo,,Cybersecurity and Data Privacy,To Learn,,1,00:30:00,
082 - Introduction to Probability,Probability and Statistics,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/vRl4N/introduction-to-probability?v=introduction-to-medical-software/lecture/vRl4N/introduction-to-probability&list=introduction-to-medical-software&type=snipo,,Probability Overview,To Learn,,1,00:11:34,
091 - The Guinness Brewer Who Revolutionized Statistics,Probability and Statistics,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/IM58C/the-guinness-brewer-who-revolutionized-statistics?v=introduction-to-medical-software/supplement/IM58C/the-guinness-brewer-who-revolutionized-statistics&list=introduction-to-medical-software&type=snipo,,Tools for Clinical Trials,To Learn,,1,00:10:00,
089 - Statistical Significance – 2,Probability and Statistics,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/xunrD/statistical-significance-2?v=introduction-to-medical-software/lecture/xunrD/statistical-significance-2&list=introduction-to-medical-software&type=snipo,,Tools for Clinical Trials,To Learn,,1,00:10:45,
093 - Introduction to Validation,"Software Validation, Deployment, Maintenance and Retirement",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/JkoOq/introduction-to-validation?v=introduction-to-medical-software/lecture/JkoOq/introduction-to-validation&list=introduction-to-medical-software&type=snipo,,Software Validation,To Learn,,1,00:11:28,
062 - SRS for our IGNS Project,User Needs & System Requirements,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/05ILs/srs-for-our-igns-project?v=introduction-to-medical-software/lecture/05ILs/srs-for-our-igns-project&list=introduction-to-medical-software&type=snipo,,Systems Requirement Specification,To Learn,,1,00:10:11,
067 - Example Software Design For Our IGNS project,Software Architecture Design and Usability Engineering,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/zCZv9/example-software-design-for-our-igns-project?v=introduction-to-medical-software/lecture/zCZv9/example-software-design-for-our-igns-project&list=introduction-to-medical-software&type=snipo,,Software Design,To Learn,,1,00:06:07,
034 - Cybersecurity,"The Healthcare Environment (EHR, PACS, Data Privacy, and Cybersecurity)",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/pyhlb/cybersecurity?v=introduction-to-medical-software/lecture/pyhlb/cybersecurity&list=introduction-to-medical-software&type=snipo,,Cybersecurity and Data Privacy,To Learn,,1,00:11:51,
079 - Verification and Testing,Construction and Testing,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/5z0rl/verification-and-testing?v=introduction-to-medical-software/lecture/5z0rl/verification-and-testing&list=introduction-to-medical-software&type=snipo,,Software Testing,To Learn,,1,00:11:41,
078 - Integration Testing in realtime fMRI,Construction and Testing,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/7dUnl/integration-testing-in-realtime-fmri?v=introduction-to-medical-software/lecture/7dUnl/integration-testing-in-realtime-fmri&list=introduction-to-medical-software&type=snipo,,Software Testing,To Learn,,1,00:07:50,
061 - SRS Template,User Needs & System Requirements,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/jg0Gb/srs-template?v=introduction-to-medical-software/lecture/jg0Gb/srs-template&list=introduction-to-medical-software&type=snipo,,Systems Requirement Specification,To Learn,,1,00:16:40,
070 - Human Factors and Usability Engineering -- Guidance for Medical Devices Including Drug-device Combination Products,Software Architecture Design and Usability Engineering,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/vX4xa/human-factors-and-usability-engineering-guidance-for-medical-devices-including?v=introduction-to-medical-software/supplement/vX4xa/human-factors-and-usability-engineering-guidance-for-medical-devices-including&list=introduction-to-medical-software&type=snipo,,Usability Engineering,To Learn,,1,00:30:00,
069 - Applying Human Factors and Usability Engineering to Medical Devices; Guidance for Industry and Food and Drug Administration Staff,Software Architecture Design and Usability Engineering,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/P8d6e/applying-human-factors-and-usability-engineering-to-medical-devices-guidance-for?v=introduction-to-medical-software/supplement/P8d6e/applying-human-factors-and-usability-engineering-to-medical-devices-guidance-for&list=introduction-to-medical-software&type=snipo,,Usability Engineering,To Learn,,1,00:30:00,
072 - Behavioral Health Landscape,Software Architecture Design and Usability Engineering,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/R68d4/behavioral-health-landscape?v=introduction-to-medical-software/supplement/R68d4/behavioral-health-landscape&list=introduction-to-medical-software&type=snipo,,Digital Behavioral Health (Dr. Gregory Licholai),To Learn,,1,00:30:00,
"096 - Declaration of Helsinki: Ethical Principles for Medical Research Involving Human Subjects, 1964--2013","Software Validation, Deployment, Maintenance and Retirement",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/XeESc/declaration-of-helsinki-ethical-principles-for-medical-research-involving-human?v=introduction-to-medical-software/supplement/XeESc/declaration-of-helsinki-ethical-principles-for-medical-research-involving-human&list=introduction-to-medical-software&type=snipo,,Software Validation,To Learn,,1,00:30:00,
042 - Introduction to Risk Management,Quality and Risk Management,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/YLo6r/introduction-to-risk-management?v=introduction-to-medical-software/lecture/YLo6r/introduction-to-risk-management&list=introduction-to-medical-software&type=snipo,,Introduction to Risk Management,To Learn,,1,00:08:55,
076 - Managing code and Revision Control Systems,Construction and Testing,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/O1LVd/managing-code-and-revision-control-systems?v=introduction-to-medical-software/lecture/O1LVd/managing-code-and-revision-control-systems&list=introduction-to-medical-software&type=snipo,,Software Construction (or Coding),To Learn,,1,00:09:59,
"014 - Promoting Safe and Effective Drugs for 100 Years ",Medical Software Regulation (FDA and IMDRF),No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/F1vIc/promoting-safe-and-effective-drugs-for-100-years?v=introduction-to-medical-software/supplement/F1vIc/promoting-safe-and-effective-drugs-for-100-years&list=introduction-to-medical-software&type=snipo,,FDA History and Original Regulations,To Learn,,1,00:10:00,
101 - Quiz 10,"Software Validation, Deployment, Maintenance and Retirement",No,https://www.coursera.org/learn/introduction-to-medical-software/exam/nZpyM/quiz-10?v=introduction-to-medical-software/exam/nZpyM/quiz-10&list=introduction-to-medical-software&type=snipo,,Week 10 Quiz,To Learn,,1,00:30:00,
066 - A Template for the Software Design Document,Software Architecture Design and Usability Engineering,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/z9SUT/a-template-for-the-software-design-document?v=introduction-to-medical-software/lecture/z9SUT/a-template-for-the-software-design-document&list=introduction-to-medical-software&type=snipo,,Software Design,To Learn,,1,00:14:23,
"097 - Practical tips for surgical research: Research questions, hypotheses and objectives","Software Validation, Deployment, Maintenance and Retirement",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/FFCkJ/practical-tips-for-surgical-research-research-questions-hypotheses-and?v=introduction-to-medical-software/supplement/FFCkJ/practical-tips-for-surgical-research-research-questions-hypotheses-and&list=introduction-to-medical-software&type=snipo,,Software Validation,To Learn,,1,00:30:00,
